CQS Symbol,ETF,Financial Status,Listing Exchange,Market Category,NASDAQ Symbol,Nasdaq Traded,NextShares,Round Lot Size,Security Name,Symbol,Test Issue
A,N,"",N, ,A,Y,N,100,"Agilent Technologies, Inc. Common Stock",A,N
AA,N,"",N, ,AA,Y,N,100,Alcoa Corporation Common Stock ,AA,N
AAA,Y,"",P, ,AAA,Y,N,100,Investment Managers Series Trust II AXS First Priority CLO Bond ETF,AAA,N
AAAU,Y,"",Z, ,AAAU,Y,N,100,Goldman Sachs Physical Gold ETF Shares,AAAU,N
AAC,N,"",N, ,AAC,Y,N,100,Ares Acquisition Corporation Class A Ordinary Shares,AAC,N
AAC.U,N,"",N, ,AAC=,Y,N,100,"Ares Acquisition Corporation Units, each consisting of one Class A ordinary share, and one-fifth of one redeemable warrant",AAC.U,N
AAC.WS,N,"",N, ,AAC+,Y,N,100,"Ares Acquisition Corporation Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",AAC.W,N
"",N,N,Q,G,AACG,Y,N,100,"ATA Creativity Global - American Depositary Shares, each representing two common shares",AACG,N
"",N,N,Q,G,AACI,Y,N,100,Armada Acquisition Corp. I - Common Stock,AACI,N
"",N,N,Q,G,AACIU,Y,N,100,Armada Acquisition Corp. I - Unit,AACIU,N
"",N,N,Q,G,AACIW,Y,N,100,Armada Acquisition Corp. I - Warrant,AACIW,N
"",N,N,Q,S,AADI,Y,N,100,"Aadi Bioscience, Inc. - Common Stock",AADI,N
"",Y,N,Q,G,AADR,Y,N,100,AdvisorShares Dorsey Wright ADR ETF,AADR,N
AAIC,N,"",N, ,AAIC,Y,N,100,Arlington Asset Investment Corp Class A (new),AAIC,N
AAICpB,N,"",N, ,AAIC-B,Y,N,100,Arlington Asset Investment Corp 7.00% ,AAIC$B,N
AAICpC,N,"",N, ,AAIC-C,Y,N,100,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,AAIC$C,N
AAIN,N,"",N, ,AAIN,Y,N,100,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,AAIN,N
"",N,N,Q,Q,AAL,Y,N,100,"American Airlines Group, Inc. - Common Stock",AAL,N
AAMpA,N,"",N, ,AAM-A,Y,N,100,"Apollo Asset Management, Inc. 6.375% Series A Preferred Stock",AAM$A,N
AAMpB,N,"",N, ,AAM-B,Y,N,100,"Apollo Asset Management, Inc. 6.375% Series B Preferred Stock",AAM$B,N
AAMC,N,"",A, ,AAMC,Y,N,100,Altisource Asset Management Corp Com,AAMC,N
"",N,N,Q,G,AAME,Y,N,100,Atlantic American Corporation - Common Stock,AAME,N
AAN,N,"",N, ,AAN,Y,N,100,"Aarons Holdings Company, Inc. Common Stock ",AAN,N
"",N,N,Q,G,AAOI,Y,N,100,"Applied Optoelectronics, Inc. - Common Stock",AAOI,N
"",N,N,Q,Q,AAON,Y,N,100,"AAON, Inc. - Common Stock",AAON,N
AAP,N,"",N, ,AAP,Y,N,100,Advance Auto Parts Inc.,AAP,N
"",Y,N,Q,G,AAPB,Y,N,100,GraniteShares 1.75x Long AAPL Daily ETF,AAPB,N
"",Y,N,Q,G,AAPD,Y,N,100,Direxion Daily AAPL Bear 1X Shares,AAPD,N
"",N,N,Q,Q,AAPL,Y,N,100,Apple Inc. - Common Stock,AAPL,N
"",Y,N,Q,G,AAPU,Y,N,100,Direxion Daily AAPL Bull 1.5X Shares,AAPU,N
AAT,N,"",N, ,AAT,Y,N,100,"American Assets Trust, Inc. Common Stock",AAT,N
AAU,N,"",A, ,AAU,Y,N,100,"Almaden Minerals, Ltd. Common Shares",AAU,N
"",N,N,Q,Q,AAWW,Y,N,100,Atlas Air Worldwide Holdings - Common Stock,AAWW,N
"",Y,N,Q,G,AAXJ,Y,N,100,iShares MSCI All Country Asia ex Japan Index Fund,AAXJ,N
AB,N,"",N, ,AB,Y,N,100,AllianceBernstein Holding L.P.  Units,AB,N
ABB,N,"",N, ,ABB,Y,N,100,ABB Ltd Common Stock,ABB,N
ABBV,N,"",N, ,ABBV,Y,N,100,AbbVie Inc. Common Stock,ABBV,N
ABC,N,"",N, ,ABC,Y,N,100,AmerisourceBergen Corporation Common Stock,ABC,N
"",N,N,Q,Q,ABCB,Y,N,100,Ameris Bancorp - Common Stock,ABCB,N
"",N,N,Q,Q,ABCL,Y,N,100,AbCellera Biologics Inc. - Common Shares,ABCL,N
