ETF,Financial Status,Market Category,NextShares,Round Lot Size,Security Name,Symbol,Test Issue
N,N,G,N,100,"ATA Creativity Global - American Depositary Shares, each representing two common shares",AACG,N
N,N,G,N,100,Armada Acquisition Corp. I - Common Stock,AACI,N
N,N,G,N,100,Armada Acquisition Corp. I - Unit,AACIU,N
N,N,G,N,100,Armada Acquisition Corp. I - Warrant,AACIW,N
N,N,S,N,100,"Aadi Bioscience, Inc. - Common Stock",AADI,N
Y,N,G,N,100,AdvisorShares Dorsey Wright ADR ETF,AADR,N
N,N,Q,N,100,"American Airlines Group, Inc. - Common Stock",AAL,N
N,N,G,N,100,Atlantic American Corporation - Common Stock,AAME,N
N,N,G,N,100,"Applied Optoelectronics, Inc. - Common Stock",AAOI,N
N,N,Q,N,100,"AAON, Inc. - Common Stock",AAON,N
Y,N,G,N,100,GraniteShares 1.75x Long AAPL Daily ETF,AAPB,N
Y,N,G,N,100,Direxion Daily AAPL Bear 1X Shares,AAPD,N
N,N,Q,N,100,Apple Inc. - Common Stock,AAPL,N
Y,N,G,N,100,Direxion Daily AAPL Bull 1.5X Shares,AAPU,N
N,N,Q,N,100,Atlas Air Worldwide Holdings - Common Stock,AAWW,N
Y,N,G,N,100,iShares MSCI All Country Asia ex Japan Index Fund,AAXJ,N
N,N,Q,N,100,Ameris Bancorp - Common Stock,ABCB,N
N,N,Q,N,100,AbCellera Biologics Inc. - Common Shares,ABCL,N
N,N,Q,N,100,Abcam plc - American Depositary Shares,ABCM,N
N,N,S,N,100,Abeona Therapeutics Inc. - Common Stock,ABEO,N
N,N,S,N,100,ABG Acquisition Corp. I - Class A Ordinary Shares,ABGI,N
N,N,S,N,100,"ARCA biopharma, Inc. - Common Stock",ABIO,N
N,N,Q,N,100,"Airbnb, Inc. - Class A Common Stock",ABNB,N
N,N,Q,N,100,"Acumen Pharmaceuticals, Inc. - Common Stock",ABOS,N
N,N,Q,N,100,Absci Corporation - Common Stock,ABSI,N
N,N,Q,N,100,Absolute Software Corporation - Common Stock,ABST,N
N,N,Q,N,100,Arbutus Biopharma Corporation - Common Stock,ABUS,N
N,D,S,N,100,"ABVC BioPharma, Inc. - Common Stock",ABVC,N
N,N,G,N,100,Atlantic Coastal Acquisition Corp. II - Class A Common Stock,ACAB,N
N,N,G,N,100,Atlantic Coastal Acquisition Corp. II - Unit,ACABU,N
N,N,G,N,100,Atlantic Coastal Acquisition Corp. II - Warrant,ACABW,N
N,N,G,N,100,Acri Capital Acquisition Corporation - Class A Common Stock,ACAC,N
N,N,G,N,100,Acri Capital Acquisition Corporation - Unit,ACACU,N
N,N,G,N,100,Acri Capital Acquisition Corporation - Warrant,ACACW,N
N,N,Q,N,100,ACADIA Pharmaceuticals Inc. - Common Stock,ACAD,N
N,N,S,N,100,Atlantic Coastal Acquisition Corp. - Class A Common Stock,ACAH,N
N,N,S,N,100,Atlantic Coastal Acquisition Corp. - Unit,ACAHU,N
N,N,S,N,100,Atlantic Coastal Acquisition Corp. - Warrant,ACAHW,N
N,N,G,N,100,Alset Capital Acquisition Corp. - Class A Common Stock,ACAX,N
N,N,G,N,100,Alset Capital Acquisition Corp. - Right,ACAXR,N
N,N,G,N,100,Alset Capital Acquisition Corp. - Unit,ACAXU,N
N,N,G,N,100,Alset Capital Acquisition Corp. - Warrant,ACAXW,N
N,N,Q,N,100,Aurora Cannabis Inc. - Common Shares,ACB,N
N,N,S,N,100,Ace Global Business Acquisition Limited - Ordinary Shares,ACBA,N
N,N,S,N,100,Ace Global Business Acquisition Limited - Unit,ACBAU,N
N,N,S,N,100,Ace Global Business Acquisition Limited - Warrant,ACBAW,N
N,N,Q,N,100,"Accolade, Inc. - common stock",ACCD,N
N,N,Q,N,100,ProFrac Holding Corp. - Class A Common Stock,ACDC,N
N,N,Q,N,100,ProFrac Holding Corp. - Warrant,ACDCW,N
N,N,S,N,100,Acer Therapeutics Inc. - Common Stock,ACER,N
N,N,G,N,100,"Adicet Bio, Inc. - Common Stock",ACET,N
N,N,Q,N,100,Arch Capital Group Ltd. - Common Stock,ACGL,N
N,N,Q,N,100,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",ACGLN,N
N,N,Q,N,100,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",ACGLO,N
N,N,Q,N,100,"Acadia Healthcare Company, Inc. - Common Stock",ACHC,N
N,N,Q,N,100,Achilles Therapeutics plc - American Depositary Shares,ACHL,N
N,D,S,N,100,"Achieve Life Sciences, Inc.  - Common Shares",ACHV,N
N,N,G,N,100,AC Immune SA - Common Stock,ACIU,N
N,N,Q,N,100,"ACI Worldwide, Inc. - Common Stock",ACIW,N
N,N,Q,N,100,"Axcelis Technologies, Inc. - Common Stock",ACLS,N
N,N,Q,N,100,"Arcellx, Inc. - Common Stock",ACLX,N
N,N,G,N,100,"ACM Research, Inc. - Class A Common Stock",ACMR,N
N,N,S,N,100,ACNB Corporation - Common Stock,ACNB,N
N,N,G,N,100,Ascent Industries Co. - Common Stock,ACNT,N
N,D,S,N,100,"Aclarion, Inc. - Common Stock",ACON,N
N,N,S,N,100,"Aclarion, Inc. - Warrant",ACONW,N
N,D,Q,N,100,"Acorda Therapeutics, Inc. - Common Stock",ACOR,N
N,N,S,N,100,Independence Holdings Corp. - Class A Ordinary Share,ACQR,N
N,N,S,N,100,Independence Holdings Corp. - Units,ACQRU,N
N,N,S,N,100,Independence Holdings Corp. - Warrant,ACQRW,N
N,N,Q,N,100,"Aclaris Therapeutics, Inc. - Common Stock",ACRS,N
N,N,G,N,100,"Acrivon Therapeutics, Inc. - Common Stock",ACRV,N
N,N,G,N,100,"AcelRx Pharmaceuticals, Inc. - Common Stock",ACRX,N
N,D,S,N,100,"Acasti Pharma, Inc.  - Class A Common Stock",ACST,N
N,N,Q,N,100,"Enact Holdings, Inc. - Common Stock",ACT,N
N,N,Q,N,100,Acacia Research Corporation - Common Stock,ACTG,N
N,N,Q,N,100,ACV Auctions Inc. - Class A Common Stock,ACVA,N
Y,N,G,N,100,iShares MSCI ACWI ETF,ACWI,N
Y,N,G,N,100,iShares MSCI ACWI ex US Index Fund,ACWX,N
N,N,S,N,100,"Acurx Pharmaceuticals, Inc. - Common Stock",ACXP,N
N,N,G,N,100,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",ADAG,N
N,N,G,N,100,Anthemis Digital Acquisitions I Corp - Class A Ordinary Shares,ADAL,N
N,N,G,N,100,Anthemis Digital Acquisitions I Corp - Unit,ADALU,N
N,N,G,N,100,Anthemis Digital Acquisitions I Corp - Warrant,ADALW,N
N,N,Q,N,100,Adaptimmune Therapeutics plc - American Depositary Shares,ADAP,N
N,N,Q,N,100,Adobe Inc. - Common Stock,ADBE,N
N,D,S,N,100,Color Star Technology Co. Ltd. - Ordinary Shares,ADD,N
N,N,Q,N,100,Adeia Inc.  - Common Stock,ADEA,N
N,N,S,N,100,26 Capital Acquisition Corp. - Class A Common Stock,ADER,N
N,N,S,N,100,26 Capital Acquisition Corp. - Unit,ADERU,N
N,N,S,N,100,26 Capital Acquisition Corp. - Warrant,ADERW,N
N,N,G,N,100,"Advanced Emissions Solutions, Inc. - Common Stock",ADES,N
N,N,Q,N,100,"Analog Devices, Inc. - Common Stock",ADI,N
N,D,S,N,100,"Adial Pharmaceuticals, Inc - Common Stock",ADIL,N
N,N,S,N,100,"Adial Pharmaceuticals, Inc - Warrant",ADILW,N
N,N,G,N,100,ADMA Biologics Inc - Common Stock,ADMA,N
N,D,S,N,100,Adamis Pharmaceuticals Corporation - Common Stock,ADMP,N
N,N,S,N,100,"Advent Technologies Holdings, Inc. - Class A Common Stock",ADN,N
N,N,S,N,100,"Advent Technologies Holdings, Inc. - Warrant",ADNWW,N
N,D,S,N,100,Edoc Acquisition Corp. - Class A Ordinary Share,ADOC,N
N,D,S,N,100,Edoc Acquisition Corp. - Right,ADOCR,N
N,D,S,N,100,Edoc Acquisition Corp. - Warrant,ADOCW,N
N,N,Q,N,100,"Automatic Data Processing, Inc. - Common Stock",ADP,N
N,N,Q,N,100,Adaptive Biotechnologies Corporation - Common Stock,ADPT,N
Y,N,G,N,100,Invesco BLDRS Emerging Markets 50 ADR Index Fund,ADRE,N
N,N,S,N,100,ADS-TEC ENERGY PLC - Ordinary Shares,ADSE,N
N,N,S,N,100,ADS-TEC ENERGY PLC - Warrant,ADSEW,N
N,N,Q,N,100,"Autodesk, Inc. - Common Stock",ADSK,N
N,N,S,N,100,"AdTheorent Holding Company, Inc. - Common Stock",ADTH,N
N,N,S,N,100,"AdTheorent Holding Company, Inc. - Warrants",ADTHW,N
N,N,Q,N,100,"ADTRAN Holdings, Inc. - Common Stock",ADTN,N
N,N,S,N,100,"Aditxt, Inc. - Common Stock",ADTX,N
N,N,Q,N,100,Addus HomeCare Corporation - Common Stock,ADUS,N
N,N,Q,N,100,Advantage Solutions Inc.  - Class A Common Stock,ADV,N
N,D,G,N,100,"Adverum Biotechnologies, Inc. - Common Stock",ADVM,N
N,N,Q,N,100,Advantage Solutions Inc.  - Warrant,ADVWW,N
N,D,S,N,100,Addex Therapeutics Ltd - American Depositary Shares,ADXN,N
N,N,S,N,100,Authentic Equity Acquisition Corp. - Class A ordinary share,AEAC,N
N,N,S,N,100,Authentic Equity Acquisition Corp. - Unit,AEACU,N
N,N,S,N,100,Authentic Equity Acquisition Corp. - Warrant,AEACW,N
N,N,G,N,100,AltEnergy Acquisition Corp. - Class A Common Stock,AEAE,N
N,N,G,N,100,AltEnergy Acquisition Corp. - Unit,AEAEU,N
N,N,G,N,100,AltEnergy Acquisition Corp. - Warrant,AEAEW,N
N,N,G,N,100,Aesther Healthcare Acquisition Corp - Class A Common Stock,AEHA,N
N,N,G,N,100,Aesther Healthcare Acquisition Corp - Units,AEHAU,N
N,N,G,N,100,Aesther Healthcare Acquisition Corp - Warrants,AEHAW,N
N,D,S,N,100,Antelope Enterprise Holdings Limited - Common Stock,AEHL,N
N,N,S,N,100,Aehr Test Systems - Common Stock,AEHR,N
N,N,S,N,100,Alset Inc. - Common Stock,AEI,N
N,N,Q,N,100,"Advanced Energy Industries, Inc. - Common Stock",AEIS,N
N,D,S,N,100,"Aethlon Medical, Inc. - Common Stock",AEMD,N
N,N,Q,N,100,"American Electric Power Company, Inc. - Common Stock",AEP,N
N,N,Q,N,100,"American Electric Power Company, Inc. - Corporate Unit",AEPPZ,N
N,N,S,N,100,"ADDvantage Technologies Group, Inc. - Common Stock",AEY,N
N,N,S,N,100,"AudioEye, Inc. - Common Stock",AEYE,N
N,N,S,N,100,Aeterna Zentaris Inc. - Common Stock,AEZS,N
N,N,G,N,100,Aura FAT Projects Acquisition Corp - Class A Ordinary Shares,AFAR,N
N,N,G,N,100,Aura FAT Projects Acquisition Corp - Unit,AFARU,N
N,N,G,N,100,Aura FAT Projects Acquisition Corp - Warrant,AFARW,N
N,N,S,N,100,"Affinity Bancshares, Inc. - Common Stock",AFBI,N
N,N,G,N,100,"AFC Gamma, Inc. - Common Stock",AFCG,N
N,N,Q,N,100,"Acutus Medical, Inc. - Common Stock",AFIB,N
N,N,G,N,100,Affimed N.V. - Common Stock,AFMD,N
N,N,S,N,100,Forafric Global PLC - Ordinary Shares,AFRI,N
N,N,S,N,100,Forafric Global PLC - Warrants,AFRIW,N
N,N,Q,N,100,"Affirm Holdings, Inc. - Class A Common Stock",AFRM,N
N,N,Q,N,100,Afya Limited - Class A Common Shares,AFYA,N
N,N,S,N,100,Allied Gaming & Entertainment Inc. - Common Stock,AGAE,N
N,N,S,N,100,AGBA Group Holding Limited - Ordinary Share,AGBA,N
N,N,S,N,100,AGBA Group Holding Limited - Warrant,AGBAW,N
N,N,S,N,100,Agenus Inc. - Common Stock,AGEN,N
N,N,Q,N,100,"AgroFresh Solutions, Inc. - Common Stock",AGFS,N
N,N,S,N,100,Agrify Corporation - Common Stock,AGFY,N
N,N,S,N,100,Agile Growth Corp. - Class A Ordinary Share,AGGR,N
N,N,S,N,100,Agile Growth Corp. - Units,AGGRU,N
N,N,S,N,100,Agile Growth Corp. - Warrant,AGGRW,N
N,N,S,N,100,"AgileThought, Inc. - Class A Common Stock",AGIL,N
N,N,S,N,100,"AgileThought, Inc. - Warrant",AGILW,N
N,N,Q,N,100,"Agios Pharmaceuticals, Inc. - Common Stock",AGIO,N
N,N,G,N,100,"Aeglea BioTherapeutics, Inc. - Common Stock",AGLE,N
N,N,S,N,100,AGM Group Holdings Inc. - Class A Ordinary Shares,AGMH,N
N,N,Q,N,100,AGNC Investment Corp. - Common Stock,AGNC,N
N,N,Q,N,100,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",AGNCL,N
N,N,Q,N,100,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCM,N
N,N,Q,N,100,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",AGNCN,N
N,N,Q,N,100,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",AGNCO,N
N,N,Q,N,100,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",AGNCP,N
Y,N,G,N,100,Global X Aging Population ETF,AGNG,N
N,N,S,N,100,AgriFORCE  Growing Systems Ltd. - Common Shares,AGRI,N
N,N,S,N,100,AgriFORCE  Growing Systems Ltd. - Warrant,AGRIW,N
N,D,S,N,100,"Agile Therapeutics, Inc. - Common Stock",AGRX,N
N,N,Q,N,100,"Agilysys, Inc. - Common Stock",AGYS,N
Y,N,G,N,100,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,AGZD,N
N,N,S,N,100,AdaptHealth Corp.  - Common Stock,AHCO,N
N,D,G,N,100,Akso Health Group - American Depositary Shares,AHG,N
N,H,S,N,100,Advanced Health Intelligence Ltd. - American Depositary Shares,AHI,N
N,E,S,N,100,"Allied Healthcare Products, Inc. - Common Stock",AHPI,N
N,N,G,N,100,Ahren Acquisition Corp. - Class A Ordinary Shares,AHRN,N
N,N,G,N,100,Ahren Acquisition Corp. - Unit,AHRNU,N
N,N,G,N,100,Ahren Acquisition Corp. - Warrants,AHRNW,N
Y,N,G,N,100,iShares Asia 50 ETF,AIA,N
N,N,G,N,100,AIB Acquisition Corporation - Class A Ordinary Shares,AIB,N
N,N,G,N,100,AIB Acquisition Corporation - Right,AIBBR,N
N,N,G,N,100,AIB Acquisition Corporation - Unit,AIBBU,N
N,N,G,N,100,Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,AIH,N
N,N,S,N,100,Senmiao Technology Limited - Common Stock,AIHS,N
N,N,G,N,100,Aimfinity Investment Corp. I - Unit,AIMAU,N
N,N,G,N,100,Aimfinity Investment Corp. I - Warrant,AIMAW,N
N,N,G,N,100,Aimfinity Investment Corp. I - Subunit,AIMBU,N
N,N,Q,N,100,Altra Industrial Motion Corp. - Common Stock,AIMC,N
N,D,S,N,100,"Ainos, Inc. - common stock",AIMD,N
N,N,S,N,100,"Ainos, Inc. - warrants",AIMDW,N
N,N,G,N,100,"Arteris, Inc.  - Common Stock",AIP,N
Y,N,G,N,100,Global X Artificial Intelligence & Technology ETF,AIQ,N
N,N,S,N,100,"Airgain, Inc. - Common Stock",AIRG,N
Y,N,G,N,100,First Trust RBA American Industrial Renaissance ETF,AIRR,N
N,N,G,N,100,"AirSculpt Technologies, Inc. - Common Stock",AIRS,N
N,N,G,N,100,"Air T, Inc. - Common Stock",AIRT,N
N,N,G,N,100,"Air T, Inc. - Trust Preferred Securities",AIRTP,N
N,N,Q,N,100,"Akamai Technologies, Inc. - Common Stock",AKAM,N
N,D,S,N,100,Akanda Corp. - Common Shares,AKAN,N
N,D,S,N,100,"Akebia Therapeutics, Inc. - Common Stock",AKBA,N
N,N,S,N,100,"Akili, Inc. - Common Stock",AKLI,N
N,N,Q,N,100,"Akero Therapeutics, Inc. - Common Stock",AKRO,N
N,N,S,N,100,"Akoustis Technologies, Inc. - Common Stock",AKTS,N
N,D,S,N,100,Akari Therapeutics Plc - American Depositary Shares,AKTX,N
N,N,S,N,100,Akumin Inc. - Common Shares,AKU,N
N,N,Q,N,100,"Akoya BioSciences, Inc. - Common Stock",AKYA,N
N,N,S,N,100,"Albireo Pharma, Inc. - Common Stock",ALBO,N
N,D,S,N,100,Avalon GloboCare Corp. - Common Stock,ALBT,N
N,N,Q,N,100,"Alico, Inc. - Common Stock",ALCO,N
N,N,S,N,100,"Aldeyra Therapeutics, Inc. - Common Stock",ALDX,N
N,N,Q,N,100,"Alector, Inc. - Common Stock",ALEC,N
N,N,Q,N,100,"Allegro MicroSystems, Inc. - Common Stock",ALGM,N
N,N,Q,N,100,"Align Technology, Inc. - Common Stock",ALGN,N
N,N,Q,N,100,"Aligos Therapeutics, Inc. - Common stock",ALGS,N
N,N,Q,N,100,Allegiant Travel Company - Common Stock,ALGT,N
N,N,Q,N,100,"Alignment Healthcare, Inc. - Common Stock",ALHC,N
N,N,G,N,100,"Alimera Sciences, Inc. - Common Stock",ALIM,N
N,N,Q,N,100,Alkermes plc - Ordinary Shares,ALKS,N
N,N,Q,N,100,"Alkami Technology, Inc. - Common Stock",ALKT,N
N,N,Q,N,100,Allakos Inc. - Common Stock,ALLK,N
N,N,Q,N,100,"Allogene Therapeutics, Inc. - Common Stock",ALLO,N
N,D,G,N,100,"Allarity Therapeutics, Inc. - Common stock",ALLR,N
N,N,Q,N,100,Allot Ltd. - Ordinary Shares,ALLT,N
N,N,Q,N,100,"Alnylam Pharmaceuticals, Inc. - Common Stock",ALNY,N
N,N,G,N,100,ALSP Orchid Acquisition Corporation I - Class A Ordinary Share,ALOR,N
N,N,G,N,100,ALSP Orchid Acquisition Corporation I - Unit,ALORU,N
N,N,G,N,100,ALSP Orchid Acquisition Corporation I - Warrant,ALORW,N
N,N,G,N,100,"AstroNova, Inc. - Common Stock",ALOT,N
N,N,S,N,100,Alpha Healthcare Acquisition Corp. III - Class A Common Stock,ALPA,N
N,N,S,N,100,Alpha Healthcare Acquisition Corp. III - Units,ALPAU,N
N,N,S,N,100,Alpha Healthcare Acquisition Corp. III - Warrant,ALPAW,N
N,N,G,N,100,"Alpine Immune Sciences, Inc. - Common Stock",ALPN,N
N,H,S,N,100,"Alpine 4 Holdings, Inc. - Class A Common Stock",ALPP,N
N,N,G,N,100,"Alpine Summit Energy Partners, Inc. - Class A Subordinate Voting Shares",ALPS,N
N,D,S,N,100,AlerisLife Inc. - Common Shares,ALR,N
N,N,Q,N,100,"Alarm.com Holdings, Inc. - Common Stock",ALRM,N
N,N,S,N,100,"Aileron Therapeutics, Inc. - Common Stock",ALRN,N
N,N,S,N,100,Alerus Financial Corporation - Common Stock,ALRS,N
N,N,G,N,100,Alpha Star Acquisition Corporation - Ordinary Shares,ALSA,N
N,N,G,N,100,Alpha Star Acquisition Corporation - Rights,ALSAR,N
N,N,G,N,100,Alpha Star Acquisition Corporation - Units,ALSAU,N
N,N,G,N,100,Alpha Star Acquisition Corporation - Warrants,ALSAW,N
N,N,G,N,100,"Altimmune, Inc. - Common Stock",ALT,N
N,N,S,N,100,"Alvarium Tiedemann Holdings, Inc. - Class A Common Stock",ALTI,N
